model_type,model_name,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,auc_mean,auc_std,best_hyperparameters
Pathology,SVM,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.982128982128982,0.035742035742035765,0.9857142857142858,0.02857142857142856,C=1.0; break_ties=False; cache_size=200; class_weight=None; coef0=0.0; decision_function_shape=ovr; degree=3; gamma=scale; kernel=rbf; max_iter=-1; probability=True; random_state=8888; shrinking=True; tol=0.001; verbose=False
Fusion,SVM,0.9818181818181818,0.036363636363636376,0.9857142857142858,0.02857142857142856,0.982128982128982,0.035742035742035765,0.9928571428571429,0.01428571428571428,C=1.0; break_ties=False; cache_size=200; class_weight=None; coef0=0.0; decision_function_shape=ovr; degree=3; gamma=scale; kernel=rbf; max_iter=-1; probability=True; random_state=8888; shrinking=True; tol=0.001; verbose=False
Fusion,RF,0.9090909090909092,0.05749595745760688,0.9097619047619048,0.06119742410063751,0.909019869019869,0.05752516667731343,0.961904761904762,0.0348303305674471,n_estimators=100; max_depth=3; criterion=entropy; random_state=777
Pathology,RF,0.890909090909091,0.06803013430498073,0.8847619047619049,0.06143318550408352,0.8901298701298701,0.06704922004456812,0.965952380952381,0.043380403530059924,n_estimators=50; max_depth=3; criterion=entropy; random_state=777
Fusion,LR,0.7454545454545455,0.10601730717900545,0.7345238095238095,0.13049704386709257,0.7106515706515706,0.14348296179879502,0.700952380952381,0.266894460529297,C=0.01; class_weight=None; dual=False; fit_intercept=True; intercept_scaling=1; l1_ratio=None; max_iter=1000; multi_class=deprecated; n_jobs=None; penalty=l2; random_state=42; solver=liblinear; tol=0.0001; verbose=0; warm_start=False
Pathology,LR,0.7272727272727273,0.09958591954639383,0.7178571428571429,0.12184801506594273,0.6902786102786103,0.13412547829342295,0.7157142857142856,0.2275951372179572,C=10.0; class_weight=None; dual=False; fit_intercept=True; intercept_scaling=1; l1_ratio=None; max_iter=1000; multi_class=deprecated; n_jobs=None; penalty=l2; random_state=42; solver=liblinear; tol=0.0001; verbose=0; warm_start=False
Pathology,GB,0.6727272727272726,0.04453617714151235,0.665952380952381,0.063118144988247,0.6594372294372294,0.05235332533219075,0.7647619047619048,0.040724727149000564,learning_rate=0.2; n_estimators=100; max_depth=3; random_state=32
Fusion,GB,0.6727272727272726,0.04453617714151235,0.665952380952381,0.063118144988247,0.6594372294372294,0.05235332533219075,0.7550000000000001,0.0608350805824933,learning_rate=0.3; n_estimators=100; max_depth=3; random_state=32
Clinical,SVM,0.4,0.04453617714151231,0.5,0.0,0.23000000000000004,0.04416504233199974,0.550952380952381,0.13594049652000065,C=0.1; break_ties=False; cache_size=200; class_weight=None; coef0=0.0; decision_function_shape=ovr; degree=3; gamma=scale; kernel=rbf; max_iter=-1; probability=True; random_state=8888; shrinking=True; tol=0.001; verbose=False
Clinical,GB,0.509090909090909,0.04453617714151232,0.4957142857142857,0.03617637569920677,0.48763236763236756,0.0518186379502336,0.5266666666666667,0.0880070343508864,learning_rate=0.1; n_estimators=100; max_depth=5; random_state=32
Clinical,RF,0.4545454545454545,0.05749595745760688,0.4364285714285715,0.08266946451267114,0.4276839826839828,0.03996613603739498,0.4228571428571429,0.11848055419922719,n_estimators=50; max_depth=4; criterion=gini; random_state=777
Clinical,LR,0.4,0.04453617714151231,0.3771428571428571,0.05413408229769071,0.3812992562992562,0.013364910043803593,0.33285714285714285,0.07081322243518738,C=1.0; class_weight=None; dual=False; fit_intercept=True; intercept_scaling=1; l1_ratio=None; max_iter=1000; multi_class=deprecated; n_jobs=None; penalty=l1; random_state=42; solver=liblinear; tol=0.0001; verbose=0; warm_start=False
