model,accuracy,accuracy_mean,accuracy_std,balanced_accuracy,balanced_accuracy_mean,balanced_accuracy_std,auroc,auroc_mean,auroc_std,f1_weighted,f1_weighted_mean,f1_weighted_std,clinical_accuracy,clinical_accuracy_mean,clinical_accuracy_std,clinical_balanced_accuracy,clinical_balanced_accuracy_mean,clinical_balanced_accuracy_std,clinical_auroc,clinical_auroc_mean,clinical_auroc_std,clinical_f1_weighted,clinical_f1_weighted_mean,clinical_f1_weighted_std,pathology_accuracy,pathology_accuracy_mean,pathology_accuracy_std,pathology_balanced_accuracy,pathology_balanced_accuracy_mean,pathology_balanced_accuracy_std,pathology_auroc,pathology_auroc_mean,pathology_auroc_std,pathology_f1_weighted,pathology_f1_weighted_mean,pathology_f1_weighted_std,avg_patients
Clinical LR,0.4364 ± 0.0680,0.43636363636363634,0.06803013430498074,0.4505 ± 0.0854,0.4504761904761905,0.08536170871762552,0.3281 ± 0.1520,0.3280952380952381,0.1519666988225394,0.3531 ± 0.1098,0.3530952380952381,0.10980653241074485,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical SVM,0.4000 ± 0.1233,0.4,0.12331509060227759,0.3898 ± 0.1266,0.38976190476190475,0.12656189723688385,0.6724 ± 0.2017,0.6723809523809524,0.20170812527127785,0.3507 ± 0.1134,0.3506709956709957,0.1133695155865781,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical RF,0.4727 ± 0.1060,0.4727272727272728,0.10601730717900544,0.4526 ± 0.1247,0.4526190476190476,0.12473191206191508,0.4557 ± 0.1325,0.4557142857142857,0.13251107000348833,0.4623 ± 0.1065,0.46232711732711723,0.10653652822749782,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical GB,0.5273 ± 0.1060,0.5272727272727273,0.10601730717900548,0.5350 ± 0.1186,0.5349999999999999,0.1186125382932294,0.5490 ± 0.1174,0.549047619047619,0.11739423280422089,0.5099 ± 0.1092,0.50994338994339,0.10924291928054879,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology LR (Patch),0.5674 ± 0.0844,0.5674018734010251,0.08436566103177302,0.5983 ± 0.0702,0.5982555276107548,0.07023484819960117,0.6322 ± 0.0933,0.6321721598622968,0.0932847093387245,0.5409 ± 0.1081,0.5408987646520665,0.10811001353290335,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology SVM (Patch),0.6037 ± 0.1085,0.6036742434103937,0.1084661671452637,0.6427 ± 0.0833,0.6426834709175349,0.08327330684485532,0.7611 ± 0.1024,0.761069260205664,0.1023543350790417,0.5741 ± 0.1350,0.5741254975678672,0.1350124798289366,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology RF (Patch),0.5672 ± 0.1056,0.5671773722704618,0.10556119727066784,0.6141 ± 0.0965,0.6141445723204118,0.0964539996242073,0.6716 ± 0.1534,0.6716256995941295,0.15342015256852162,0.5598 ± 0.1217,0.5598308458988266,0.12171034336574005,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology GB (Patch),0.5942 ± 0.1101,0.5942391672593736,0.11009604114607249,0.6323 ± 0.0931,0.6322787167432381,0.09306924753172822,0.6848 ± 0.1325,0.6848004611831866,0.13250094745495747,0.5893 ± 0.1255,0.5892980188979695,0.1255462556371908,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology LR (Slide),0.6545 ± 0.0891,0.6545454545454545,0.0890723542830247,0.6462 ± 0.0887,0.6461904761904762,0.0886993443952385,0.7767 ± 0.1919,0.7766666666666666,0.19194906731850625,0.5933 ± 0.1325,0.5933040488922842,0.1325391959345652,,,,,,,,,,,,,,,,,,,,,,,,,
Pathology SVM (Slide),0.6727 ± 0.1361,0.6727272727272727,0.1360602686099615,0.6655 ± 0.1504,0.6654761904761904,0.15041514735321035,0.8657 ± 0.1516,0.8657142857142857,0.15161713327338971,0.6001 ± 0.2010,0.6000713012477719,0.2010175959527117,,,,,,,,,,,,,,,,,,,,,,,,,
